               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.025854,            0.026639,           0.0037569,             0.47285,             0.40637,             0.41307,              0.2298,            0.038379,            0.045439,           0.0099045,           0.0048025,           0.0048025,           0.0048025
                 107,            0.025904,             0.02823,           0.0030847,             0.45287,             0.39667,             0.40078,             0.22904,            0.038456,            0.046091,            0.010721,            0.004753,            0.004753,            0.004753
                 108,            0.024933,            0.029194,           0.0033092,               0.567,             0.44413,             0.40906,             0.23668,            0.039036,            0.043868,              0.0112,           0.0047035,           0.0047035,           0.0047035
                 109,            0.026286,            0.026145,           0.0034758,             0.58847,             0.39386,             0.39382,             0.22603,            0.038334,            0.043992,           0.0099552,            0.004654,            0.004654,            0.004654
                 110,            0.024447,            0.028405,           0.0029796,             0.56342,             0.34843,             0.40077,             0.23079,            0.038194,            0.044985,           0.0097129,           0.0046045,           0.0046045,           0.0046045
                 111,            0.025979,            0.029409,           0.0033514,             0.51457,             0.53891,             0.50327,             0.29239,            0.038355,            0.046575,            0.010308,            0.004555,            0.004555,            0.004555
                 112,            0.026031,            0.029606,           0.0026254,             0.44065,             0.56779,             0.46468,             0.26793,             0.03838,            0.045058,            0.010454,           0.0045055,           0.0045055,           0.0045055
                 113,            0.025526,            0.028336,           0.0031938,             0.52246,             0.52715,             0.45725,             0.26864,            0.038086,            0.045051,            0.010065,            0.004456,            0.004456,            0.004456
                 114,            0.025559,            0.028409,           0.0034633,             0.55267,             0.53212,               0.463,             0.27738,            0.037914,            0.044716,           0.0099531,           0.0044065,           0.0044065,           0.0044065
                 115,            0.024579,            0.027562,           0.0026385,             0.54266,             0.43192,             0.43173,             0.24375,             0.03763,            0.044667,           0.0094919,            0.004357,            0.004357,            0.004357
                 116,            0.025359,            0.028736,           0.0033632,              0.5135,             0.44718,             0.49251,             0.26324,            0.037788,            0.046518,           0.0095049,           0.0043075,           0.0043075,           0.0043075
                 117,            0.025505,            0.030417,           0.0032462,             0.41738,             0.56372,             0.42652,             0.25106,            0.037816,            0.046268,            0.010169,            0.004258,            0.004258,            0.004258
                 118,            0.024529,            0.028965,           0.0030714,             0.43779,             0.58492,             0.43607,             0.25688,            0.037792,            0.044312,           0.0099666,           0.0042085,           0.0042085,           0.0042085
                 119,            0.025513,            0.029803,            0.002933,             0.45116,             0.39503,             0.41343,             0.24268,            0.037885,            0.044352,           0.0094682,            0.004159,            0.004159,            0.004159
                 120,            0.025492,            0.027217,           0.0030876,              0.4629,             0.52833,             0.44038,             0.25598,             0.03785,            0.045663,              0.0091,           0.0041095,           0.0041095,           0.0041095
                 121,            0.023973,            0.026717,            0.003355,             0.59256,             0.35556,             0.41269,             0.24467,            0.037573,            0.044647,           0.0089749,             0.00406,             0.00406,             0.00406
                 122,            0.024643,            0.028116,           0.0033639,             0.53599,             0.37253,             0.41087,              0.2406,            0.036989,            0.044357,           0.0093335,           0.0040105,           0.0040105,           0.0040105
                 123,            0.023631,            0.027703,            0.002913,             0.56505,             0.35906,             0.37528,              0.2246,            0.037922,            0.046323,           0.0096618,            0.003961,            0.003961,            0.003961
                 124,            0.024562,            0.028782,           0.0026754,             0.61801,             0.41624,             0.38848,             0.23314,             0.03795,            0.046206,           0.0093465,           0.0039115,           0.0039115,           0.0039115
                 125,            0.023365,            0.026188,           0.0028132,             0.45705,             0.42501,             0.37328,             0.22272,            0.037585,            0.046599,           0.0094612,            0.003862,            0.003862,            0.003862
                 126,             0.02496,            0.026818,           0.0030397,             0.51752,             0.39578,             0.38988,             0.23118,            0.037401,            0.045496,           0.0090896,           0.0038125,           0.0038125,           0.0038125
                 127,            0.023499,            0.028788,           0.0030108,             0.43321,             0.40346,              0.3914,             0.23306,            0.038243,             0.04798,           0.0097713,            0.003763,            0.003763,            0.003763
                 128,            0.023461,            0.029718,           0.0027906,             0.60679,             0.35302,             0.37146,              0.2216,            0.038105,            0.048222,             0.01047,           0.0037135,           0.0037135,           0.0037135
                 129,            0.023693,            0.028959,            0.002907,             0.46004,             0.39616,              0.3913,             0.23771,            0.038098,            0.049439,           0.0094966,            0.003664,            0.003664,            0.003664
                 130,            0.022918,            0.025068,           0.0031651,             0.53472,             0.38832,             0.41815,             0.24387,             0.03828,            0.048308,            0.009964,           0.0036145,           0.0036145,           0.0036145
                 131,            0.023191,            0.028304,           0.0026112,             0.65796,             0.36021,             0.41171,             0.24032,            0.038166,            0.047998,           0.0096712,            0.003565,            0.003565,            0.003565
                 132,            0.023935,            0.029316,           0.0024536,             0.52917,             0.38074,             0.40205,             0.23535,            0.038201,            0.047848,           0.0096647,           0.0035155,           0.0035155,           0.0035155
                 133,            0.022931,             0.02867,           0.0025346,             0.49404,             0.39699,             0.43166,             0.24378,            0.038129,            0.046942,           0.0098526,            0.003466,            0.003466,            0.003466
                 134,            0.024003,            0.027572,           0.0029035,             0.53161,             0.39692,             0.43135,             0.25165,            0.038434,            0.047331,            0.010042,           0.0034165,           0.0034165,           0.0034165
                 135,            0.022313,            0.025718,           0.0023962,             0.48677,             0.52026,             0.46826,              0.2653,            0.038638,            0.049099,            0.010145,            0.003367,            0.003367,            0.003367
                 136,            0.022739,            0.027931,           0.0028963,             0.49551,             0.51796,             0.46963,             0.27127,            0.038324,            0.047851,            0.010111,           0.0033175,           0.0033175,           0.0033175
                 137,            0.022802,            0.027611,           0.0027095,             0.46256,             0.56214,             0.44986,             0.25585,            0.037955,            0.046056,           0.0098698,            0.003268,            0.003268,            0.003268
                 138,             0.02251,             0.02586,           0.0024257,             0.52854,             0.50788,             0.43928,             0.25501,            0.037673,            0.045786,             0.01044,           0.0032185,           0.0032185,           0.0032185
                 139,            0.022713,            0.027088,           0.0027465,             0.44705,             0.42819,             0.42772,             0.24739,            0.037736,            0.046712,           0.0098572,            0.003169,            0.003169,            0.003169
                 140,            0.023538,            0.025457,           0.0027885,             0.43598,             0.40521,             0.42014,             0.24059,            0.037743,            0.047102,           0.0094663,           0.0031195,           0.0031195,           0.0031195
                 141,            0.022237,            0.027589,           0.0026081,             0.50824,             0.40082,             0.39173,             0.23022,             0.03749,            0.046277,            0.009914,             0.00307,             0.00307,             0.00307
                 142,            0.021966,            0.026581,           0.0022921,             0.43419,             0.41505,             0.40124,             0.23268,              0.0379,             0.04728,            0.010016,           0.0030205,           0.0030205,           0.0030205
                 143,            0.022465,            0.027035,           0.0028437,             0.50328,             0.43674,             0.48885,             0.25256,            0.037845,            0.047498,            0.010219,            0.002971,            0.002971,            0.002971
                 144,             0.02227,            0.027983,           0.0028147,              0.4452,             0.41921,             0.43034,             0.24917,            0.037502,            0.047579,            0.010367,           0.0029215,           0.0029215,           0.0029215
                 145,            0.020751,            0.024772,           0.0024422,             0.60248,             0.42089,              0.4389,             0.24945,            0.037922,            0.047961,            0.010196,            0.002872,            0.002872,            0.002872
                 146,            0.021617,            0.027142,             0.00254,             0.49443,             0.52225,             0.45882,             0.26176,            0.037483,            0.047308,           0.0097364,           0.0028225,           0.0028225,           0.0028225
                 147,            0.021914,            0.025944,           0.0026332,             0.50091,              0.5523,             0.44833,             0.25819,            0.037827,            0.048372,            0.010931,            0.002773,            0.002773,            0.002773
                 148,            0.021765,            0.025586,            0.002236,             0.48008,             0.54208,             0.45332,             0.26344,            0.037752,            0.047807,            0.010314,           0.0027235,           0.0027235,           0.0027235
                 149,             0.02197,            0.026523,           0.0025807,             0.55624,             0.53065,              0.5051,             0.28492,            0.038166,            0.047667,             0.01035,            0.002674,            0.002674,            0.002674
                 150,            0.021807,            0.027332,           0.0022549,             0.52276,             0.53454,             0.47161,             0.26917,            0.038138,            0.048113,           0.0092099,           0.0026245,           0.0026245,           0.0026245
                 151,            0.021292,             0.02568,           0.0023326,             0.56561,             0.47864,             0.45221,             0.25994,            0.038051,            0.049495,           0.0091254,            0.002575,            0.002575,            0.002575
                 152,            0.020977,            0.023937,           0.0023165,             0.52557,             0.44669,             0.44732,             0.25819,            0.038259,            0.049137,           0.0091937,           0.0025255,           0.0025255,           0.0025255
                 153,            0.020739,            0.024461,           0.0021602,             0.48877,             0.37606,             0.40062,             0.23164,            0.038015,             0.04848,           0.0092134,            0.002476,            0.002476,            0.002476
                 154,            0.022497,            0.025624,           0.0028758,             0.51078,             0.38823,             0.39864,             0.23295,            0.038086,            0.048851,           0.0097222,           0.0024265,           0.0024265,           0.0024265
